2026-08-11 01:49:40 | unimol_tools/models/unimolv2.py | 176 | INFO | Uni-Mol Tools | Loading pretrained weights from /Users/nikolenko/Library/Application Support/Burette/chemical-space-models/unimol/modelzoo/84M/checkpoint.pt
2026-08-11 01:49:40 | unimol_tools/data/conformer.py | 459 | INFO | Uni-Mol Tools | Start generating conformers...
2026-08-11 01:49:45 | unimol_tools/data/conformer.py | 473 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2026-08-11 01:49:45 | unimol_tools/data/conformer.py | 490 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2026-08-11 01:49:45 | unimol_tools/tasks/trainer.py | 103 | INFO | Uni-Mol Tools | Using CPU.
2026-08-11 01:49:59 | unimol_tools/data/conformer.py | 459 | INFO | Uni-Mol Tools | Start generating conformers...
2026-08-11 01:50:07 | unimol_tools/data/conformer.py | 473 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2026-08-11 01:50:07 | unimol_tools/data/conformer.py | 490 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2026-08-11 01:50:07 | unimol_tools/tasks/trainer.py | 103 | INFO | Uni-Mol Tools | Using CPU.
